# Name | Longitude | Latitude | Width | Length | Height | R | G | B
45甲楼|116.2996177181818|39.988193700000004|20.0|45.0|24.0|0.7|0.6|0.5
45乙楼|116.29972399411766|39.9885375|20.0|45.0|24.0|0.7|0.6|0.5
45楼|116.29965148888888|39.987833011111114|20.0|55.0|24.0|0.7|0.6|0.5
岛厅|116.30352024444444|39.993402044444444|15.0|20.0|10.0|0.6|0.5|0.4
北阁|116.30141472|39.99179476|15.0|15.0|18.0|0.7|0.5|0.4
南阁|116.30142754|39.99146296|15.0|15.0|18.0|0.7|0.5|0.4
临湖轩|116.30301847272727|39.99226177272727|20.0|35.0|10.0|0.6|0.5|0.4
俄文楼|116.30259194|39.99165042|25.0|40.0|15.0|0.6|0.5|0.4
哲学楼|116.30419623125|39.98965034375|30.0|45.0|20.0|0.6|0.6|0.6
一院|116.30139952727272|39.99087227272727|15.0|30.0|12.0|0.6|0.5|0.4
二院|116.30142117|39.99038591|15.0|30.0|12.0|0.6|0.5|0.4
三院|116.30142743636362|39.98990134545455|15.0|30.0|12.0|0.6|0.5|0.4
四院|116.30275362|39.98993107|15.0|30.0|12.0|0.6|0.5|0.4
五院|116.30269940999999|39.99040493|15.0|30.0|12.0|0.6|0.5|0.4
六院|116.30268778|39.99088168|15.0|30.0|12.0|0.6|0.5|0.4
北京大学化学学院A区|116.31159168571428|39.9894625|35.0|50.0|30.0|0.6|0.6|0.7
北京大学化学学院B区|116.31118710000001|39.9898464|35.0|50.0|30.0|0.6|0.6|0.7
北京大学化学学院C区|116.31167697999999|39.99018443999999|35.0|50.0|30.0|0.6|0.6|0.7
北京大学化学学院D区|116.31133776000001|39.990464020000005|35.0|50.0|30.0|0.6|0.6|0.7
文史楼|116.30567278571428|39.990904785714285|30.0|50.0|22.0|0.6|0.6|0.6
学一食堂|116.30169664285714|39.986257928571426|35.0|45.0|15.0|0.8|0.6|0.4
北京大学燕东园34号楼|116.310373|39.9944896|20.0|45.0|18.0|0.6|0.6|0.5
北京大学-战略研究所|116.3103754|39.99414704|25.0|35.0|15.0|0.6|0.6|0.6
北京大学-燕东园小楼32号楼|116.31077424|39.99415054|15.0|25.0|12.0|0.6|0.6|0.5
北京大学-燕东园小楼31号楼|116.31110411428573|39.994092442857145|15.0|25.0|12.0|0.6|0.6|0.5
松林餐厅|116.30200688333333|39.986465933333335|25.0|35.0|12.0|0.8|0.6|0.4
餐饮综合楼（家园食堂）|116.30178069000002|39.9870349|50.0|60.0|25.0|0.8|0.6|0.4
43楼|116.30069392|39.986228340000004|20.0|50.0|24.0|0.7|0.6|0.5
