id,type,name,highway,point_count,coordinates
way/23426778,LineString,清华西路,secondary,27,"116.2983116,39.9961848;116.2983984,39.9961924;116.2984713,39.9961988;116.3005863,39.9963839;116.3008271,39.996426;116.3009964,39.996476;116.3012141,39.9966022;116.3013297,39.9967128;116.3015185,39.9968964;116.3020741,39.9974562;116.3023792,39.9977205;116.3028742,39.9980034;116.3029611,39.9980305;116.3034024,39.9981681;116.3039338,39.9983038;116.3045709,39.9983993;116.3052651,39.9984819;116.3057643,39.9985174;116.3059087,39.9985211;116.3060491,39.9985305;116.3061767,39.9985377;116.3062961,39.9985416;116.3063912,39.9985448;116.30687,39.9985605;116.3073919,39.9985752;116.3087274,39.9985949;116.3088778,39.9985968"
way/25214182,LineString,万泉河路,trunk,12,"116.2893153,39.9934911;116.2894131,39.9929717;116.2895487,39.9926293;116.2898393,39.9921941;116.2901882,39.9918299;116.290863,39.9912633;116.291764,39.9905452;116.2925498,39.989877;116.2928869,39.9895203;116.2930954,39.9891431;116.2932258,39.9887418;116.2933031,39.988258"
way/25686353,LineString,颐和园路,secondary,13,"116.2896528,39.9956574;116.2906712,39.9957437;116.2925641,39.9959189;116.2926404,39.9959234;116.294103,39.9960077;116.2943123,39.9960098;116.2947088,39.9960146;116.2948081,39.9960146;116.2951226,39.9960164;116.2953955,39.9960188;116.2957588,39.9960305;116.298147,39.9961748;116.2983116,39.9961848"
way/26152148,LineString,中关村大街,primary,2,"116.3102917,39.9840462;116.3102677,39.9843816"
way/26345730,LineString,,footway,16,"116.3057643,39.9985174;116.3057336,39.9986313;116.3057151,39.9987003;116.3056929,39.9987826;116.3057219,39.9988566;116.3056035,39.9993167;116.3055256,39.9996131;116.305442,40.0000611;116.3053651,40.0001578;116.3053044,40.000215;116.3051067,40.0004775;116.3049322,40.000746;116.3048207,40.0009276;116.3046782,40.001301;116.3046661,40.0013501;116.3045898,40.0015574"
way/26812102,LineString,中关村大街,primary,2,"116.3100265,39.9843724;116.3100563,39.9840355"
way/29229203,LineString,万泉河路,trunk,2,"116.2939652,39.9851928;116.2934914,39.9881611"
way/29235175,LineString,,trunk_link,3,"116.3037456,39.9840598;116.3030418,39.9841456;116.3022866,39.9842651"
way/29235181,LineString,,trunk_link,25,"116.3012722,39.9841254;116.3006655,39.9841259;116.3005954,39.9841339;116.3005336,39.9841491;116.300455,39.9841788;116.3003859,39.9842138;116.3003198,39.9842554;116.3002784,39.984309;116.3002558,39.9843802;116.3002544,39.9844514;116.3002732,39.9845311;116.3003132,39.9846039;116.3003756,39.9846472;116.3004554,39.9846892;116.3005528,39.9847152;116.3006465,39.9847316;116.3007301,39.9847408;116.3008259,39.9847431;116.3017861,39.9847709;116.3019589,39.9847396;116.3020805,39.9846675;116.3021492,39.9845716;116.302164,39.9844806;116.3021542,39.9841369;116.3021107,39.9826122"
way/29235182,LineString,,trunk_link,2,"116.3030418,39.9841456;116.3012722,39.9841254"
way/29235183,LineString,彩和坊路,tertiary,30,"116.3020377,39.9837065;116.3020366,39.9836387;116.3020334,39.9834434;116.3020332,39.9833221;116.3020329,39.9830503;116.3020319,39.9823319;116.3020306,39.9813117;116.3020304,39.9811674;116.3020657,39.9810877;116.3021317,39.9799731;116.302134,39.9798512;116.3021775,39.9790133;116.3021832,39.9789037;116.3021877,39.9788168;116.302232,39.9780017;116.3022395,39.9778638;116.3022519,39.9777743;116.3026811,39.9768566;116.3027447,39.9767175;116.302795,39.9765855;116.302813,39.9764236;116.3028154,39.976358;116.302832,39.9759735;116.3028396,39.975798;116.3028483,39.9755959;116.3028901,39.9746287;116.3028913,39.9746006;116.3028943,39.9745711;116.302899,39.9745015;116.3029009,39.9744328"
way/32594353,LineString,北四环西路,trunk,2,"116.300016,39.9839792;116.2990825,39.983949"
way/32954719,LineString,,residential,6,"116.3225155,39.9948975;116.3224649,39.9948941;116.3212984,39.9948509;116.3202058,39.99469;116.3191606,39.9945497;116.3181961,39.994425"
way/32954774,LineString,,residential,10,"116.315926,39.996173;116.3177845,39.9963161;116.3187478,39.9964574;116.3194247,39.9965673;116.3200248,39.9966581;116.3208322,39.9967545;116.3209878,39.9967692;116.3212491,39.9967862;116.3221316,39.9967954;116.3221798,39.9967959"
way/32954781,LineString,,service,19,"116.321508,39.9933529;116.3214935,39.9935527;116.3214798,39.9936594;116.3214585,39.9938259;116.3214395,39.9939739;116.3214143,39.9941705;116.3213937,39.9943319;116.3213549,39.9944939;116.3213162,39.9947707;116.3212984,39.9948509;116.3212095,39.9953929;116.3211647,39.9956487;116.3211585,39.9956842;116.3211528,39.9957129;116.3210834,39.9960607;116.3210514,39.9962212;116.3210222,39.9964203;116.3210147,39.9964718;116.3209878,39.9967692"
way/32954897,LineString,,service,9,"116.3198558,39.9997125;116.319856,39.999759;116.3198562,39.9998222;116.3199921,40.0000509;116.320135,40.0003233;116.3202301,40.0005721;116.3202754,40.0007454;116.3202502,40.0009274;116.3202125,40.0009727"
way/32954930,LineString,,footway,4,"116.3191589,39.9910148;116.3185543,39.9909953;116.3185313,39.9913248;116.3191437,39.9913436"
way/32954931,LineString,,footway,2,"116.3225972,39.991128;116.3225851,39.9914588"
way/32954934,LineString,,footway,2,"116.3148445,39.9908405;116.3148269,39.9912058"
way/32954938,LineString,,footway,2,"116.3091136,39.9944244;116.309611,39.9944551"
way/33278312,LineString,成府园西路,service,7,"116.3071531,39.9916729;116.3071094,39.9927443;116.3071058,39.9928331;116.3070893,39.9932385;116.3070746,39.993371;116.3070495,39.9935443;116.3066043,39.9949843"
way/33278333,LineString,镜春园南路,service,6,"116.3047211,39.9947539;116.3030869,39.9945907;116.3019462,39.9945728;116.3012961,39.9946135;116.3011639,39.9946141;116.3005549,39.9946264"
way/33278345,LineString,,footway,19,"116.3005837,39.9936661;116.3003518,39.9936661;116.3002312,39.9936324;116.3001288,39.993623;116.2993248,39.9935979;116.2992646,39.9935631;116.2992284,39.9934871;116.2991786,39.9933027;116.2992283,39.9931849;116.2993025,39.9930739;116.2993652,39.9930361;116.2994101,39.9929968;116.2994191,39.9927301;116.2994166,39.9926118;116.2994217,39.9925153;116.2994246,39.9924591;116.2994347,39.9922036;116.299766,39.9919259;116.2999595,39.9917654"
way/33278378,LineString,百讲南路,service,3,"116.3045067,39.9880767;116.3051395,39.9880888;116.3052809,39.9880915"
way/33431777,LineString,,cycleway,9,"116.3112505,39.9985445;116.3113146,39.9985971;116.311355,39.9986303;116.3113997,39.998727;116.3113993,39.9989283;116.3113991,39.9990474;116.3113472,39.9994262;116.3112589,39.9999873;116.3111785,40.0004019"
way/33431799,LineString,,cycleway,17,"116.3125748,40.0011149;116.3126467,40.0011275;116.3129555,40.0012773;116.31301,40.0013037;116.3131913,40.0013677;116.3132761,40.0013913;116.3133747,40.0014188;116.3135528,40.001448;116.3136751,40.0014681;116.3137147,40.0014662;116.31393,40.0014562;116.3139873,40.0014535;116.3142963,40.0014206;116.3144798,40.0013859;116.3145275,40.0013717;116.3146729,40.0013284;116.3147588,40.0012955"
way/33431801,LineString,熙春路,residential,17,"116.315732,39.9986653;116.3157318,39.9986744;116.3157316,39.9986826;116.3157305,39.9987335;116.3157286,39.9987798;116.315724,39.9988946;116.3157211,39.9989681;116.3156658,39.9998485;116.315475,40.0009286;116.3154192,40.0013013;116.3154025,40.0013999;116.3153219,40.0018739;116.3153071,40.0019613;116.3153036,40.0019918;116.3152404,40.0023542;116.3153665,40.0023904;116.3155976,40.0024568"
way/33431812,LineString,,cycleway,16,"116.3116547,39.9985484;116.3116464,39.9986179;116.3116256,39.9987927;116.3114315,40.0004242;116.311406,40.0005116;116.3114402,40.0006328;116.3114918,40.0007499;116.3115369,40.0008601;116.3115513,40.0009752;116.3115154,40.0016968;116.3115331,40.0017614;116.3115742,40.001834;116.3116389,40.0019205;116.3117254,40.0019626;116.3119141,40.002008;116.3124938,40.0020529"
way/33431830,LineString,,service,2,"116.3154192,40.0013013;116.3147588,40.0012955"
way/33431916,LineString,,service,6,"116.315475,40.0009286;116.3157414,40.0009518;116.3158494,40.0009582;116.3162069,40.0009797;116.3169314,40.0010125;116.3174685,40.0008167"
way/33432085,LineString,,service,3,"116.3178368,39.9975417;116.3186364,39.9974866;116.3192745,39.9974427"
