id,type,name,highway,point_count,coordinates
way/165174633,LineString,,tertiary_link,2,"116.31,39.9844;116.31,39.9841"
way/165174634,LineString,,tertiary_link,2,"116.31,39.984;116.31,39.9844"
way/165174636,LineString,中关村大街,tertiary,10,"116.311,39.9776;116.311,39.9777;116.311,39.979;116.311,39.9794;116.311,39.9795;116.311,39.9806;116.311,39.9814;116.311,39.9818;116.311,39.9829;116.31,39.9835"
way/165628669,LineString,,trunk_link,9,"116.292,39.9838;116.292,39.9836;116.292,39.9835;116.291,39.9834;116.291,39.9832;116.292,39.983;116.292,39.9829;116.292,39.9828;116.292,39.9825"
way/165628685,LineString,,cycleway,2,"116.31,39.9909;116.309,39.9909"
way/165628688,LineString,,tertiary_link,2,"116.295,39.9842;116.295,39.9841"
way/165628698,LineString,,tertiary_link,2,"116.3,39.9842;116.3,39.9837"
way/165628703,LineString,万泉河路,tertiary_link,2,"116.294,39.9841;116.294,39.9829"
way/165628708,LineString,,tertiary_link,2,"116.299,39.9836;116.299,39.9841"
way/165628718,LineString,,service,3,"116.295,39.9842;116.295,39.9842;116.295,39.9844"
way/165628739,LineString,,trunk_link,3,"116.295,39.9839;116.294,39.9839;116.294,39.9839"
way/165628762,LineString,,trunk_link,4,"116.295,39.9834;116.296,39.9835;116.296,39.9836;116.297,39.9837"
way/165628772,LineString,,trunk_link,4,"116.294,39.9849;116.294,39.9852;116.294,39.9856;116.294,39.9866"
way/165628774,LineString,,trunk_link,4,"116.293,39.9844;116.293,39.9843;116.292,39.9841;116.292,39.984"
way/165628775,LineString,,trunk_link,5,"116.295,39.9841;116.295,39.9842;116.295,39.9843;116.294,39.9845;116.294,39.9849"
way/165628782,LineString,,trunk_link,6,"116.294,39.9839;116.293,39.9839;116.292,39.9839;116.292,39.9839;116.292,39.9838;116.292,39.9838"
way/165628783,LineString,,trunk_link,12,"116.293,39.9829;116.293,39.983;116.293,39.983;116.293,39.9831;116.293,39.9832;116.293,39.9832;116.293,39.9833;116.293,39.9833;116.293,39.9834;116.293,39.9834;116.293,39.9835;116.294,39.9836"
way/165628784,LineString,,trunk_link,6,"116.294,39.9851;116.293,39.985;116.293,39.9848;116.293,39.9846;116.293,39.9845;116.293,39.9844"
way/165628791,LineString,,trunk_link,6,"116.294,39.9826;116.295,39.9828;116.295,39.983;116.295,39.9832;116.295,39.9833;116.295,39.9834"
way/165628794,LineString,,trunk_link,6,"116.292,39.984;116.292,39.9839;116.291,39.9838;116.291,39.9833;116.29,39.9833;116.29,39.9832"
way/165628803,LineString,,trunk_link,7,"116.294,39.9817;116.294,39.9816;116.294,39.9815;116.294,39.9813;116.294,39.9811;116.294,39.9809;116.294,39.9805"
way/165628811,LineString,北四环西路,trunk,2,"116.295,39.9838;116.294,39.9837"
way/165628812,LineString,北四环西路,trunk,3,"116.294,39.9836;116.295,39.9836;116.295,39.9836"
way/165628813,LineString,万泉河路,tertiary,8,"116.294,39.9829;116.294,39.9827;116.294,39.9824;116.294,39.9823;116.294,39.9821;116.294,39.982;116.294,39.9819;116.293,39.9817"
way/165628815,LineString,北四环西路辅路,tertiary,11,"116.31,39.9844;116.31,39.9844;116.31,39.9844;116.31,39.9844;116.309,39.9844;116.308,39.9844;116.308,39.9844;116.308,39.9843;116.307,39.9843;116.307,39.9843;116.306,39.9843"
way/165628816,LineString,北四环西路,tertiary,3,"116.295,39.9842;116.295,39.9842;116.295,39.9842"
way/165628817,LineString,北四环西路,trunk,4,"116.299,39.9839;116.298,39.9839;116.296,39.9839;116.295,39.9838"
way/165628818,LineString,北四环西路,trunk,5,"116.295,39.9836;116.295,39.9836;116.297,39.9837;116.298,39.9838;116.299,39.9838"
way/165628844,LineString,北四环西路,trunk,2,"116.299,39.9838;116.3,39.9838"
way/165762146,LineString,,primary_link,2,"116.311,39.9814;116.311,39.9814"
way/169215120,LineString,,service,3,"116.298,39.9926;116.298,39.9926;116.298,39.9926"
way/169215121,LineString,,service,6,"116.298,39.9931;116.298,39.9928;116.298,39.9926;116.298,39.9923;116.298,39.9923;116.298,39.9923"
way/169215122,LineString,,footway,6,"116.298,39.9927;116.298,39.9927;116.298,39.9926;116.298,39.9923;116.298,39.9922;116.298,39.9918"
way/169488462,LineString,,footway,12,"116.29,39.992;116.291,39.9919;116.291,39.9918;116.291,39.9915;116.292,39.9912;116.292,39.9909;116.292,39.9907;116.292,39.9905;116.293,39.9904;116.293,39.9902;116.293,39.99;116.293,39.9898"
way/169488463,LineString,,footway,21,"116.292,39.9857;116.291,39.9858;116.291,39.9859;116.292,39.986;116.292,39.986;116.292,39.986;116.292,39.9861;116.292,39.9862;116.292,39.9862;116.292,39.9863;116.292,39.9863;116.292,39.9863;116.292,39.9863;116.292,39.9863;116.292,39.9864;116.292,39.9864;116.292,39.9864;116.292,39.9865;116.292,39.9865;116.292,39.9866;116.292,39.9866"
way/169488464,LineString,,footway,56,"116.29,39.9921;116.29,39.9919;116.29,39.9918;116.29,39.9917;116.29,39.9917;116.29,39.9915;116.29,39.9915;116.292,39.9904;116.292,39.9901;116.292,39.99;116.292,39.99;116.292,39.9898;116.292,39.9897;116.293,39.9895;116.293,39.9895;116.293,39.9892;116.293,39.9892;116.293,39.989;116.293,39.9889;116.293,39.9888;116.293,39.9887;116.293,39.9876;116.293,39.9875;116.293,39.9869;116.293,39.9867;116.293,39.9861;116.293,39.986;116.293,39.9857;116.293,39.9856;116.293,39.9855;116.293,39.9853;116.293,39.9851;116.293,39.985;116.293,39.9849;116.293,39.9847;116.293,39.9846;116.293,39.9845;116.293,39.9844;116.292,39.9842;116.291,39.9841;116.291,39.984;116.291,39.9839;116.291,39.9837;116.29,39.9834;116.29,39.9834;116.29,39.9833;116.29,39.9831;116.289,39.9829;116.289,39.9826;116.288,39.9824;116.287,39.9818;116.286,39.9809;116.286,39.9809;116.286,39.9809;116.286,39.9809;116.286,39.981"
way/169488469,LineString,,service,2,"116.292,39.9913;116.291,39.9913"
way/169488475,LineString,,service,4,"116.292,39.9911;116.292,39.9912;116.292,39.9913;116.292,39.9915"
way/169488477,LineString,,cycleway,8,"116.294,39.9891;116.294,39.9892;116.293,39.9897;116.293,39.9898;116.293,39.9903;116.292,39.9905;116.292,39.9905;116.292,39.9905"
way/170473547,LineString,中关村北大街,primary,5,"116.31,39.9855;116.31,39.9853;116.31,39.9847;116.31,39.9845;116.31,39.9844"
way/170473548,LineString,,service,3,"116.309,39.9973;116.307,39.9971;116.307,39.9971"
way/170610232,LineString,,steps,2,"116.31,39.9859;116.31,39.9857"
way/170610233,LineString,,service,3,"116.319,39.9915;116.319,39.9915;116.319,39.9919"
way/170610234,LineString,,footway,5,"116.318,39.9913;116.318,39.9913;116.317,39.9913;116.317,39.9912;116.317,39.9912"
way/170613299,LineString,,cycleway,46,"116.334,39.9854;116.333,39.9854;116.333,39.9854;116.329,39.9852;116.329,39.9852;116.328,39.9851;116.327,39.9851;116.327,39.9851;116.327,39.9851;116.327,39.9851;116.327,39.985;116.327,39.985;116.324,39.9849;116.323,39.9849;116.321,39.9849;116.32,39.9848;116.319,39.9848;116.318,39.9847;116.316,39.9847;116.314,39.9846;116.314,39.9846;116.314,39.9846;116.314,39.9846;116.313,39.9846;116.312,39.9846;116.311,39.9845;116.311,39.9845;116.31,39.9845;116.31,39.9845;116.31,39.9845;116.31,39.9845;116.31,39.9845;116.31,39.9845;116.31,39.9845;116.309,39.9845;116.308,39.9844;116.308,39.9844;116.307,39.9844;116.304,39.9843;116.304,39.9843;116.303,39.9843;116.302,39.9844;116.302,39.9844;116.3,39.9843;116.3,39.9843;116.3,39.9843"
way/170613301,LineString,,footway,2,"116.314,39.9845;116.314,39.9842"
way/170613304,LineString,,footway,2,"116.314,39.9845;116.314,39.9842"
way/170613306,LineString,,service,5,"116.313,39.9845;116.313,39.9846;116.313,39.9846;116.313,39.9847;116.313,39.9848"
way/170613308,LineString,,footway,4,"116.314,39.9847;116.314,39.9846;116.314,39.9845;116.314,39.9845"
way/170613311,LineString,,service,6,"116.314,39.9845;116.314,39.9846;116.314,39.9847;116.314,39.9847;116.314,39.9849;116.314,39.9854"
way/170613313,LineString,,footway,2,"116.314,39.9839;116.313,39.9839"
way/170613314,LineString,,footway,17,"116.31,39.9865;116.31,39.9861;116.31,39.9855;116.31,39.9854;116.31,39.9848;116.311,39.9847;116.311,39.9846;116.311,39.9846;116.311,39.9846;116.311,39.9846;116.313,39.9846;116.313,39.9846;116.314,39.9847;116.314,39.9847;116.314,39.9847;116.314,39.9847;116.316,39.9847"
way/177353867,LineString,中关村北一条,residential,21,"116.312,39.9861;116.312,39.9861;116.312,39.9862;116.313,39.9862;116.313,39.9862;116.314,39.9863;116.314,39.9863;116.315,39.9864;116.316,39.9864;116.316,39.9864;116.317,39.9865;116.317,39.9865;116.319,39.9866;116.32,39.9866;116.321,39.9866;116.322,39.9867;116.323,39.9867;116.324,39.9868;116.327,39.9869;116.327,39.9869;116.327,39.9869"
way/177353870,LineString,北四环西路,tertiary,9,"116.327,39.985;116.325,39.9849;116.325,39.9849;116.324,39.9848;116.324,39.9848;116.323,39.9848;116.323,39.9848;116.323,39.9848;116.321,39.9847"
way/177353873,LineString,海淀路,tertiary,16,"116.3,39.985;116.3,39.985;116.3,39.985;116.302,39.9851;116.303,39.9851;116.304,39.9851;116.305,39.9852;116.306,39.9852;116.306,39.9852;116.306,39.9852;116.307,39.9852;116.307,39.9852;116.309,39.9852;116.31,39.9852;116.31,39.9852;116.31,39.9852"
way/177353880,LineString,科院北一街,residential,4,"116.317,39.9865;116.318,39.9855;116.318,39.9847;116.318,39.9846"
way/188712672,LineString,,footway,2,"116.299,39.9872;116.3,39.9872"
way/189799117,LineString,,tertiary_link,2,"116.295,39.9828;116.294,39.9827"
way/191050695,LineString,善缘街,secondary,33,"116.308,39.9827;116.308,39.9825;116.308,39.9822;116.308,39.9821;116.308,39.9814;116.308,39.9813;116.308,39.9812;116.308,39.9809;116.308,39.9806;116.307,39.9802;116.307,39.9802;116.307,39.9802;116.307,39.9801;116.307,39.9801;116.307,39.98;116.307,39.9798;116.307,39.9797;116.307,39.9797;116.307,39.9796;116.306,39.9794;116.306,39.9793;116.306,39.9792;116.305,39.9791;116.305,39.979;116.305,39.979;116.305,39.979;116.304,39.9789;116.304,39.9789;116.304,39.9789;116.303,39.9789;116.302,39.9789;116.302,39.9789;116.302,39.9789"
way/191050697,LineString,北四环西路辅路,tertiary,12,"116.3,39.9836;116.3,39.9836;116.3,39.9836;116.3,39.9836;116.3,39.9837;116.3,39.9837;116.302,39.9837;116.302,39.9837;116.303,39.9837;116.303,39.9837;116.304,39.9838;116.304,39.9838"
way/192457614,LineString,莺房胡同,residential,3,"116.307,39.9838;116.307,39.9828;116.307,39.982"
way/194922778,LineString,海淀大街,secondary,24,"116.3,39.9811;116.3,39.9811;116.301,39.9811;116.302,39.9811;116.302,39.9811;116.302,39.9811;116.303,39.9811;116.303,39.9811;116.303,39.9811;116.305,39.9811;116.305,39.9811;116.305,39.9811;116.305,39.9811;116.305,39.9811;116.306,39.9811;116.307,39.9811;116.308,39.9812;116.308,39.9812;116.308,39.9812;116.309,39.9812;116.309,39.9812;116.31,39.9812;116.31,39.9812;116.31,39.9812"
way/194922781,LineString,北四环西路,tertiary,11,"116.299,39.9842;116.299,39.9841;116.299,39.9841;116.299,39.9841;116.298,39.9841;116.298,39.9841;116.297,39.9841;116.297,39.9842;116.297,39.9842;116.296,39.9842;116.295,39.9842"
way/194922782,LineString,苏州街,secondary,12,"116.3,39.9811;116.3,39.9812;116.3,39.9813;116.3,39.982;116.3,39.982;116.3,39.9822;116.3,39.9824;116.3,39.9828;116.3,39.9835;116.3,39.9835;116.3,39.9835;116.3,39.9836"
way/208170382,LineString,中关村创业大街,pedestrian,2,"116.301,39.9812;116.301,39.9812"
way/210641901,LineString,,footway,12,"116.302,40.0001;116.302,40.0001;116.301,40;116.301,40;116.301,39.9999;116.301,39.9997;116.301,39.9996;116.302,39.9997;116.302,39.9997;116.302,39.9999;116.302,40.0001;116.302,40.0001"
way/210641902,LineString,,footway,7,"116.306,39.9997;116.306,39.9997;116.306,39.9998;116.306,39.9998;116.306,39.9998;116.307,39.9998;116.307,39.9998"
way/210641904,LineString,,footway,18,"116.303,40.003;116.303,40.0029;116.303,40.0028;116.303,40.0027;116.303,40.0025;116.303,40.0023;116.303,40.0021;116.303,40.0021;116.303,40.0021;116.303,40.0021;116.303,40.0021;116.303,40.0023;116.303,40.0024;116.303,40.0025;116.303,40.0025;116.303,40.0026;116.303,40.0027;116.303,40.0027"
way/210641906,LineString,,footway,16,"116.305,40.0018;116.304,40.0019;116.304,40.002;116.304,40.0022;116.304,40.0024;116.304,40.0025;116.304,40.0026;116.304,40.0027;116.304,40.0028;116.304,40.0029;116.304,40.0029;116.304,40.003;116.304,40.003;116.304,40.0031;116.304,40.0032;116.304,40.0033"
way/210641907,LineString,,footway,21,"116.305,40.0018;116.305,40.0018;116.305,40.0019;116.305,40.002;116.305,40.0022;116.305,40.0025;116.305,40.0025;116.305,40.0026;116.305,40.0027;116.305,40.0027;116.305,40.0029;116.305,40.0029;116.305,40.003;116.305,40.0031;116.305,40.0034;116.305,40.0035;116.305,40.0036;116.305,40.0036;116.305,40.0037;116.305,40.0038;116.305,40.0038"
way/210641908,LineString,,footway,17,"116.306,39.9993;116.305,39.9993;116.305,39.9992;116.305,39.9991;116.305,39.9991;116.305,39.9991;116.305,39.9991;116.305,39.9991;116.304,39.9991;116.304,39.9992;116.304,39.9993;116.304,39.9993;116.304,39.9992;116.304,39.9991;116.304,39.9989;116.304,39.9988;116.304,39.9988"
way/210641909,LineString,,footway,2,"116.303,40.0001;116.303,40.0002"
way/210641910,LineString,,footway,2,"116.306,39.9999;116.306,39.9997"
way/210641911,LineString,,footway,2,"116.304,40.0012;116.303,40.0012"
way/210641913,LineString,,footway,2,"116.304,40.0002;116.304,40"
way/210641914,LineString,,footway,2,"116.305,40.0002;116.305,40.0001"
way/210641915,LineString,,footway,2,"116.303,40.0002;116.302,40.0003"
way/210641916,LineString,,footway,2,"116.302,40.0003;116.302,40.0001"
way/210641919,LineString,,footway,2,"116.303,40.0015;116.303,40.0017"
way/210641921,LineString,,footway,2,"116.305,40.0016;116.305,40.0018"
way/210641922,LineString,,footway,2,"116.305,40.0014;116.304,40.0013"
way/210641923,LineString,,footway,2,"116.302,40.0015;116.302,40.0014"
way/210641925,LineString,,footway,2,"116.303,39.9999;116.304,40"
way/210641927,LineString,,footway,2,"116.303,40.0017;116.303,40.0015"
way/210641928,LineString,,footway,2,"116.304,40.0001;116.304,40.0002"
way/210641930,LineString,,footway,2,"116.307,40.0001;116.306,40"
way/210641932,LineString,,footway,3,"116.303,40.002;116.303,40.0019;116.303,40.0017"
way/210641933,LineString,,footway,3,"116.306,40;116.306,39.9999;116.307,39.9998"
way/210641934,LineString,,footway,3,"116.303,40.0015;116.303,40.0014;116.303,40.0012"
way/210641935,LineString,,footway,4,"116.306,39.9999;116.306,40.0001;116.306,40.0001;116.306,40.0002"
way/210641936,LineString,,footway,3,"116.306,39.9999;116.306,39.9999;116.307,40"
way/210641939,LineString,,footway,3,"116.303,40.0017;116.303,40.002;116.303,40.0024"
way/210641942,LineString,,footway,4,"116.306,40.0001;116.306,40.0001;116.306,40;116.306,40"
way/210641943,LineString,,footway,4,"116.303,40.0017;116.303,40.0017;116.303,40.0017;116.303,40.0017"
way/210641945,LineString,,footway,5,"116.302,40.0015;116.302,40.0015;116.302,40.0015;116.303,40.0015;116.303,40.0015"
way/210641946,LineString,,footway,5,"116.304,40.0013;116.304,40.0015;116.304,40.0015;116.304,40.0015;116.304,40.0014"
way/210641947,LineString,,footway,5,"116.303,40.0012;116.303,40.0008;116.303,40.0005;116.303,40.0003;116.303,40.0002"
way/210641948,LineString,,footway,6,"116.305,40.0001;116.305,40.0002;116.304,40.0002;116.305,40;116.305,40;116.305,40.0001"
way/210641951,LineString,,footway,6,"116.304,40.0013;116.304,40.0013;116.304,40.0012;116.304,40.0012;116.304,40.0013;116.304,40.0012"
way/210641954,LineString,,footway,6,"116.304,40.0002;116.304,40.0003;116.303,40.0003;116.303,40.0003;116.303,40.0003;116.303,40.0003"
way/210641955,LineString,,footway,4,"116.301,39.998;116.301,39.9982;116.302,39.9983;116.302,39.9984"
way/210641956,LineString,,footway,10,"116.302,40.0014;116.302,40.001;116.302,40.0008;116.302,40.0007;116.302,40.0006;116.302,40.0005;116.302,40.0004;116.302,40.0004;116.302,40.0003;116.302,40.0003"
way/210641958,LineString,,footway,6,"116.302,40.0023;116.302,40.0021;116.302,40.002;116.302,40.0019;116.302,40.0019;116.302,40.0017"
way/210641960,LineString,,footway,6,"116.303,40.0007;116.304,40.0006;116.304,40.0003;116.304,40.0002;116.304,40.0002;116.304,40.0002"
way/210641964,LineString,,footway,7,"116.306,39.9998;116.306,39.9999;116.306,39.9999;116.306,39.9999;116.306,39.9999;116.306,39.9998;116.306,39.9997"
way/210641965,LineString,,footway,5,"116.305,40.0001;116.306,39.9999;116.306,40;116.306,39.9999;116.306,39.9998"
way/210641968,LineString,,footway,7,"116.304,40.0013;116.304,40.0014;116.304,40.0015;116.304,40.0015;116.304,40.0015;116.304,40.0014;116.304,40.0013"
