# Name | OuterRing | HoleRing1 | HoleRing2 | ...
# 每个 Ring 格式为: lon1,lat1;lon2,lat2;...;lonN,latN（不含闭合重复点）
光华管理学院|116.3069068,39.9948014;116.3069368,39.9946685;116.3069201,39.9946338;116.3069169,39.9946011;116.3069239,39.9945709;116.3069399,39.9945432;116.3069621,39.9945207;116.3070014,39.9944973;116.3070629,39.9942953;116.3070287,39.9942894;116.3070699,39.9941531;116.3071053,39.9941577;116.3071127,39.9941337;116.307078,39.9941264;116.3071185,39.9939929;116.3071537,39.9940007;116.3071612,39.9939762;116.3071251,39.9939712;116.307166,39.9938363;116.3072025,39.9938424;116.3072255,39.9937679;116.3071894,39.9937591;116.3072171,39.9936676;116.3072543,39.9936742;116.307257,39.9936656;116.3074678,39.9937038;116.3074213,39.9938544;116.3074733,39.9938637;116.3073306,39.9943269;116.3072141,39.994307;116.3072097,39.9943203;116.3073694,39.9943475;116.3073358,39.9944626;116.3072913,39.9944543;116.3072823,39.9944836;116.3072644,39.9944794;116.3072371,39.9945645;116.3072469,39.9946006;116.3072428,39.994637;116.3072269,39.9946688;116.3071997,39.9946968;116.3071936,39.9947166;116.3072631,39.994727;116.3072508,39.9947733;116.3072375,39.9947722;116.3072158,39.9948471;116.3071728,39.9948393;116.3071698,39.9948489
光华管理学院2号楼|116.3075249,39.9949302;116.3075288,39.9949169;116.3074902,39.9949103;116.3075289,39.9947785;116.3075693,39.9947855;116.3076422,39.9945372;116.3077311,39.9945525;116.3077464,39.9945004;116.3078396,39.9945165;116.307825,39.9945659;116.3078591,39.9945718;116.307784,39.9948271;116.3079761,39.9948603;116.307933,39.9950118;116.3075932,39.994997;116.307609,39.9949448
法学院（凯原楼）|116.3072839,39.9934766;116.3073088,39.9928881;116.3077406,39.9928989;116.3076315,39.9935094
外文楼|116.2995108,39.993647;116.3001598,39.9936566;116.3001552,39.9938395;116.2995063,39.9938297
办公楼（贝公楼）|116.3002969,39.993639;116.3003001,39.9934841;116.3002466,39.9934834;116.3002537,39.9931457;116.3003072,39.9931464;116.3003101,39.9930047;116.3005344,39.9930074;116.3005314,39.9931491;116.3005896,39.9931498;116.3005826,39.9934873;116.3005256,39.9934866;116.3005223,39.9936418
赛克勒考古与艺术博物馆|116.2995046,39.9946736;116.2995127,39.994392;116.2994603,39.9943911;116.2994666,39.9941708;116.3001617,39.9941825;116.3001561,39.9943749;116.3000958,39.9943739;116.3000869,39.9946835
民主楼|116.3002949,39.9938715;116.300503,39.9938734;116.3004978,39.9942175;116.3002897,39.9942156
德斋|116.3008367,39.9943341;116.3008419,39.9938546;116.3010506,39.9938559;116.3010466,39.994232;116.3010455,39.9943354
才斋|116.3015236,39.9938638;116.3017171,39.9938667;116.3017047,39.9943464;116.3015086,39.9943434;116.3015101,39.9942356
审计室|116.3010466,39.994232;116.3015101,39.9942356;116.3015086,39.9943434;116.301508,39.9943872;116.3010464,39.9943835;116.3010455,39.9943354
均斋|116.3021011,39.9943698;116.3021097,39.9939126;116.3023422,39.9939151;116.3023379,39.9942618;116.302337,39.9943724
备斋|116.3027845,39.9943826;116.3027855,39.994264;116.3027901,39.9939165;116.303013,39.9939177;116.303009,39.9943837
人事部|116.3023379,39.9942618;116.3027855,39.994264;116.3027845,39.9943826;116.3027843,39.9944093;116.3023367,39.9944071;116.302337,39.9943724
第一体育馆|116.3054779,39.9936927;116.3056356,39.9937266;116.3054289,39.9942916;116.305271,39.9942577
勺园4号楼|116.299576,39.9898965;116.299606,39.9898972;116.2996029,39.9899681;116.2995748,39.9899673;116.2995741,39.9899842;116.2990044,39.9899698;116.2990113,39.9898093;116.2991536,39.9898129;116.2991512,39.9898678;116.2995768,39.9898786
勺园5号楼|116.2990428,39.9907757;116.2995374,39.9907968;116.2995271,39.9909378;116.2990326,39.9909167
